Pop,108,108,108,108,108,108,108,108,108,108,108,G4,G4,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,119,119,119,119,119,119,119,119,119,119,119,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,124,124,124,124,124,124,124,124,124,124,124,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128
NAG,0.72414,0,0.27586,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.51852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75926,0,0,0,0,0,0,0,0,0,0.24074,0,0,0,0,0,0,0,0.22222,0,0.03704,0,0.48148,0.25926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23214,0,0,0.53571,0.23214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0.28571,0,0.28571,0.21429,0,0,0,0,0,0,0,0,0,0,0
SAN,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TUN,0.47619,0,0.19048,0.2619,0,0.07143,0,0,0,0,0,0.075,0.925,0,0,0.775,0.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692,0,0,0,0,0,0.26923,0.23077,0.26923,0,0.15385,0,0,0.175,0,0,0,0.175,0.125,0,0.15,0.025,0.1,0.05,0.075,0.125,0,0,0,0,0,0.05263,0,0,0.10526,0.57895,0,0,0.26316,0,0,0,0,0,0,0,0.175,0.225,0,0,0.125,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.125,0,0.175,0.275,0.05,0.175,0,0,0.175,0,0,0,0,0,0,0.175,0,0,0,0,0,0.025,0,0.35,0.125,0,0,0.225,0,0.1,0,0,0,0,0,0
WDP,0.51852,0,0.48148,0,0,0,0,0,0,0,0,1,0,0,0,0.2963,0.7037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03704,0,0.83333,0.12963,0,0,0,0,0,0.12963,0,0,0,0,0,0,0.35185,0.03704,0.48148,0,0,0,0,0,0,0,0,0,0,0.01852,0.48148,0.5,0,0,0,0,0.01852,0,0,0,0,0.35185,0,0.61111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03704,0,0,0,0.12963,0.35185,0.12963,0.35185,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0
BLU,0.4,0,0.4,0,0.06,0.14,0,0,0,0,0,0.58,0.42,0,0,0.32,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.6,0.14,0.12,0.02,0.04,0,0,0,0,0.16,0,0,0.24,0,0,0,0,0.12,0.22,0.26,0,0,0,0,0,0,0,0,0,0.14,0.72,0.02,0,0.12,0,0,0,0,0,0,0,0.6087,0.23913,0.08696,0.06522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BSF,0.575,0,0,0.05,0.175,0.15,0.05,0,0,0,0,0.43478,0.56522,0,0,0.97826,0.02174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04545,0,0,0,0.36364,0.15909,0.13636,0,0.27273,0,0,0,0.02273,0.06522,0,0,0,0,0,0,0.02174,0.19565,0.56522,0.13043,0.02174,0,0,0,0,0,0,0.32609,0,0.04348,0.28261,0.19565,0,0.15217,0,0,0,0,0,0,0,0.08696,0,0.17391,0.02174,0,0,0,0,0.13043,0,0.02174,0.02174,0,0.02174,0,0,0,0,0,0,0,0.04348,0,0,0,0.13043,0.21739,0.02174,0,0.1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21429,0,0,0,0.28571,0.07143,0.35714,0,0,0,0.07143,0,0,0,0,0,0
HOL,0.7,0,0.3,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0.25,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0.3,0,0.05,0.15,0.4,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0.05,0,0.15,0,0.15,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0.15,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.3125,0,0,0.125,0.0625,0.125,0,0,0.25,0,0,0,0,0,0,0,0
LAW,0.5,0,0.48333,0,0.01667,0,0,0,0,0,0,0.98276,0.01724,0,0,0.98333,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26786,0.71429,0.01786,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0.15,0.46667,0.03333,0,0,0,0,0,0,0,0.44828,0,0,0.31034,0.24138,0,0,0,0,0,0,0,0,0,0,0,0,0.58333,0.2,0,0,0.01667,0,0,0,0,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01667,0,0,0,0,0,0,0.16667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724,0,0,0,0,0.01724,0,0.2931,0.03448,0.62069,0,0,0.01724,0,0,0,0,0,0,0,0,0
MLK,0.5,0,0.5,0,0,0,0,0,0,0,0,0.54167,0.45833,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04167,0,0,0,0.45833,0,0.5,0,0,0,0,0,0,0.04167,0,0,0,0,0,0,0,0.45833,0,0.5,0,0,0,0,0,0,0,0.5,0,0.45833,0,0.04167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04167,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.45833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MWR,0.28,0,0.18,0,0.48,0.04,0.02,0,0,0,0,0.98,0.02,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.46,0.2,0.02,0.28,0,0.02,0,0,0,0.04,0,0,0,0,0.02,0.18,0.42,0.04,0.26,0.04,0,0,0,0,0,0,0,0.04,0,0.02,0.62,0.08,0,0.24,0,0,0,0,0,0,0,0.02,0,0.02,0,0.02,0.46,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.12,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04167,0,0,0,0.04167,0,0,0,0,0,0.83333,0.08333,0,0,0,0,0,0,0,0
PIA,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PMQ,0.58475,0,0,0,0,0.41525,0,0,0,0,0,0.63333,0.36667,0,0,0.72034,0.27966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36441,0,0,0,0.41525,0.08475,0.13559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15254,0.84746,0,0,0,0,0,0,0,0,0,0,0.13333,0.01667,0,0,0.85,0,0,0,0,0,0,0,0,0,0.01695,0.4322,0.00847,0.33898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13559,0,0,0,0,0,0,0.0678,0,0,0,0,0,0,0,0,0,0,0,0,0.0678,0,0,0,0.13559,0,0.44915,0.34746,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WES,0.33333,0.16667,0.45238,0.02381,0,0.02381,0,0,0,0,0,0.28571,0.71429,0,0,0.97727,0,0.02273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02273,0,0,0,0.47727,0.22727,0.02273,0.04545,0,0.20455,0,0,0,0.27273,0,0,0,0,0.15909,0,0.02273,0.13636,0.18182,0.18182,0,0.04545,0,0,0,0,0,0.15909,0,0,0.5,0.31818,0.02273,0,0,0,0,0,0,0,0,0,0,0.38636,0.02273,0.29545,0.02273,0,0,0,0,0,0,0,0.15909,0,0,0,0,0,0,0,0.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02273,0,0,0.20455,0,0,0,0,0.02273,0.18182,0.04545,0.02273,0.09091,0.36364,0.06818,0,0,0,0,0,0,0,0.38889,0,0,0,0,0,0.02778,0,0.38889,0,0.19444,0,0,0,0,0,0,0,0,0,0,0
WSL,0.77273,0,0.04545,0,0.18182,0,0,0,0,0,0,0.77273,0.22727,0,0,0.63636,0.27273,0,0,0,0,0,0,0,0,0,0,0,0.09091,0,0,0,0,0,0,0,0.1875,0,0,0,0.375,0.3125,0.125,0,0,0,0,0,0,0.31818,0,0,0,0,0,0,0.18182,0.09091,0.13636,0.18182,0,0.09091,0,0,0,0,0,0.18182,0,0.27273,0.13636,0.40909,0,0,0,0,0,0,0,0,0,0,0.04545,0.27273,0,0.13636,0,0,0,0.22727,0,0,0,0,0,0,0,0.18182,0,0,0,0,0.04545,0,0,0,0,0.09091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.3,0.15,0.05,0.15,0.15,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.28571,0,0,0.35714,0,0.14286,0,0.21429,0,0,0,0,0,0,0,0,0
BCB,0.54,0,0.02,0.34,0,0.1,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0.4,0,0,0,0,0,0.44,0,0,0,0,0,0,0.46,0,0,0.1,0,0,0,0,0,0,0,0.8,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0,0,0.41667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.38,0,0,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0
BCP,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64583,0,0.35417,0,0,0,0,0,0,0,0,0,0,0,0.35417,0,0,0,0,0.5,0,0,0.14583,0,0,0,0,0.88542,0,0.11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29167,0.35417,0,0,0.35417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
CCC,0.46154,0,0.17308,0.03846,0.03846,0.25,0,0,0,0.03846,0,1,0,0,0.2,0.35,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.10417,0.08333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0.02381,0.07143,0.59524,0.11905,0.19048,0,0,0,0,0,0,0.06818,0,0.18182,0.31818,0.43182,0,0,0,0,0,0,0,0,0,0,0,0,0.22917,0,0,0,0,0,0.125,0.0625,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.16667,0.02083,0.3125,0.02083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11538,0.21154,0.44231,0.15385,0.07692,0,0,0,0,0,0,0,0.16667,0.27778,0,0,0,0,0,0,0,0,0,0.11111,0.05556,0,0.27778,0,0,0.11111,0,0,0,0,0,0
CHR,0.25,0,0.08333,0,0.26667,0.36667,0.03333,0,0,0,0,1,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31667,0.26667,0.31667,0.05,0,0,0.05,0,0,0.25,0,0,0,0,0.02273,0,0.09091,0.11364,0.09091,0.43182,0,0,0,0,0,0,0,0.56667,0,0.2,0.18333,0.05,0,0,0,0,0,0,0,0,0,0,0,0.11667,0.18333,0,0.01667,0,0.01667,0,0.03333,0,0.05,0,0,0.01667,0,0,0,0,0,0,0,0,0,0,0,0.25,0.06667,0.06667,0,0,0,0,0,0,0,0.18333,0,0,0,0,0,0,0,0,0.06667,0.15,0.05,0.41667,0.21667,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05556,0,0.05556,0,0.59259,0,0.03704,0.25926,0,0,0,0,0,0,0,0,0
CKW,0.79545,0,0,0,0.20455,0,0,0,0,0,0,0.91667,0.08333,0,0.25,0.025,0,0,0.15,0.025,0,0,0,0,0.375,0,0,0,0,0,0.025,0.025,0.1,0,0,0.025,0.07895,0,0,0,0.13158,0.07895,0.63158,0,0.07895,0,0,0,0,0.58333,0,0,0,0,0.04167,0,0.02083,0,0.25,0.04167,0.0625,0,0,0,0,0,0,0.14583,0,0.5625,0.04167,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.85417,0.14583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28947,0.05263,0.02632,0,0.63158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03125,0.3125,0.375,0.125,0,0,0.09375,0,0.0625,0,0,0,0,0,0,0,0
DCR,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
DRP,0.52174,0,0.32609,0,0.06522,0.08696,0,0,0,0,0,0.82609,0.17391,0.09524,0.2619,0.02381,0,0.07143,0.07143,0,0.11905,0,0.11905,0,0,0,0,0,0,0,0,0.14286,0.02381,0.07143,0,0,0,0,0,0,0.6087,0.19565,0.17391,0.02174,0,0,0,0,0,0,0,0,0,0,0.06522,0,0.06522,0.13043,0.26087,0.36957,0.1087,0,0,0,0,0,0,0.67857,0,0.14286,0,0,0,0.17857,0,0,0,0,0,0,0,0,0,0,0.78261,0.21739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11905,0,0,0,0.30952,0.02381,0.07143,0.28571,0.19048,0,0,0,0,0,0,0,0.46154,0,0,0,0,0,0.23077,0,0,0.23077,0,0,0.07692,0,0,0,0,0,0,0,0,0
FHM,0.57609,0,0.42391,0,0,0,0,0,0,0,0,0.57447,0.42553,0,0,0.53191,0.46809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03191,0.89362,0.07447,0,0,0,0,0,0,0,0,0,0,0,0.41304,0,0.02174,0.11957,0.41304,0,0,0,0,0.01087,0.02174,0,0,0.46739,0,0.05435,0.43478,0.04348,0,0,0,0,0,0,0,0,0.01064,0,0,0.04255,0,0,0,0,0,0,0.05319,0,0,0,0.89362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01087,0.53261,0.43478,0,0.02174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04444,0,0,0.84444,0,0.02222,0,0.08889,0,0,0,0,0,0,0,0,0
GCR,1,0,0,0,0,0,0,0,0,0,0,0.82609,0.17391,0,0.02083,0.91667,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.20833,0.66667,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.66667,0.0625,0.20833,0,0,0,0,0,0,0,0,0,0.4375,0,0.45833,0,0.10417,0,0,0,0,0,0,0,0,0,0.10417,0.33333,0,0,0,0,0,0.0625,0,0,0,0,0,0.01042,0,0,0.10417,0.32292,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33333,0,0.16667,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPC,0.72917,0,0.125,0,0.0625,0.04167,0.04167,0,0,0,0,0.1875,0.8125,0,0,0.8125,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3125,0.54167,0.14583,0,0,0,0,0,0,0.1875,0,0,0,0,0.375,0,0,0,0.04167,0.39583,0,0,0,0,0,0,0,0.16,0,0.04,0.08,0.66,0.06,0,0,0,0,0,0,0,0,0,0,0.5,0.11364,0,0.09091,0.04545,0,0,0,0,0,0,0.04545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27273,0,0,0,0,0,0,0.04545,0.04545,0,0.63636,0,0,0,0,0,0,0,0,0,0,0
KAN,0.22093,0,0.12791,0.09302,0,0.5,0.05814,0,0,0,0,0.74419,0.25581,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12791,0.27907,0.15116,0.0814,0.22093,0.13953,0,0,0,0.39535,0,0,0.02326,0,0,0,0.16279,0,0.19767,0,0.22093,0,0,0,0,0,0,0.30488,0,0.45122,0.02439,0.21951,0,0,0,0,0,0,0,0,0,0.12195,0,0.13415,0.21951,0.02439,0.12195,0,0,0,0.02439,0.03659,0,0.06098,0,0,0,0,0,0.15854,0,0,0,0,0,0,0,0.09756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09302,0,0,0,0,0,0.32558,0.39535,0.06977,0.11628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04651,0.36047,0.02326,0.43023,0,0.13953,0,0,0,0,0,0,0,0,0,0
KNX,0.1,0,0.18,0,0.72,0,0,0,0,0,0,0.96,0.04,0.04,0,0.22,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0.02,0,0,0,0,0,0.06,0.44,0.06,0,0.28,0.16,0,0,0,0,0,0,0,0,0,0,0.64,0,0.28,0,0.08,0,0,0,0,0,0,0,0,0.64,0,0.06,0.3,0,0,0,0,0,0,0,0,0,0,0,0.08,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91667,0.04167,0,0,0,0.04167,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66667,0.33333,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LHP,0.975,0,0.025,0,0,0,0,0,0,0,0,0.525,0.475,0.5,0,0.475,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.5,0.475,0,0,0,0,0,0.65,0,0,0,0,0,0,0.025,0,0.325,0,0,0,0,0,0,0,0,0.975,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.025,0,0,0,0,0.45,0.025,0,0,0,0,0,0,0
LL1,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
