Pop,108,108,108,108,108,108,108,108,108,108,108,G4,G4,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,119,119,119,119,119,119,119,119,119,119,119,119,119,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,121,124,124,124,124,124,124,124,124,124,124,124,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B103,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B108,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128,B128
LL2,0.15217,0,0.34783,0,0,0.3913,0.1087,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32,0.24,0.12,0,0,0,0,0,0.33333,0,0,0,0,0,0,0.125,0.27083,0.16667,0.10417,0,0,0,0,0,0,0,0.38,0,0.22,0.16,0.14,0,0.1,0,0,0,0,0.125,0,0,0,0,0.16667,0,0,0.02083,0.10417,0,0,0,0,0,0,0,0,0,0,0,0.10417,0,0,0,0,0,0,0,0.25,0,0.22917,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0.2,0,0.1,0.04,0.32,0.12,0,0,0,0,0,0,0,0,0,0.2,0.04,0,0,0,0.1,0,0,0,0.56,0,0,0,0.1,0,0,0,0,0,0,0,0
LL3,0.11364,0,0.61364,0,0.18182,0.09091,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02174,0,0,0,0.17391,0.41304,0.06522,0.26087,0.02174,0,0.04348,0,0,0.28261,0,0,0,0.04348,0.04348,0,0,0.19565,0.17391,0.1087,0.15217,0,0,0,0,0.08333,0,0.3125,0,0.125,0.29167,0.10417,0,0.08333,0,0,0,0,0,0,0,0,0,0.16667,0,0,0.04167,0,0.10417,0,0,0.02083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583,0.02083,0.10417,0.04167,0.20833,0,0,0,0.0625,0.02083,0.02083,0,0,0.04167,0,0,0,0,0,0.08333,0.0625,0.04167,0.45833,0.125,0.22917,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.15,0,0,0,0,0,0.15,0.15,0.45,0,0.05,0,0,0,0,0,0
LM1,0.5,0,0.08824,0.17647,0.17647,0.05882,0,0,0,0,0,0.61765,0.38235,0,0,0.875,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0.59375,0.21875,0,0.03125,0,0,0,0,0,0,0,0,0,0.03125,0,0.28125,0.28125,0.25,0.125,0.03125,0,0,0,0,0,0,0.02941,0,0.38235,0.11765,0.47059,0,0,0,0,0,0,0,0,0,0,0,0.32353,0,0,0.11765,0.02941,0,0.11765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14706,0,0.20588,0.02941,0,0,0,0,0,0.02941,0,0,0,0,0,0,0,0,0,0,0,0.11765,0.44118,0.32353,0.05882,0.05882,0,0,0,0,0,0,0,0,0.13636,0,0,0,0,0.27273,0,0,0,0,0.04545,0.09091,0.04545,0.22727,0.18182,0,0,0,0,0,0,0
LM2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0.52083,0,0.47917,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0
LM3,0.07143,0,0.46429,0,0.46429,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53571,0.46429,0,0,0,0,0,0,0,0.46429,0,0.5,0,0.03571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07143,0.46429,0,0.46429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03571,0.07143,0,0.89286,0,0,0,0,0,0,0,0
MC1,0.90625,0,0,0,0.09375,0,0,0,0,0,0,0.95833,0.04167,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28125,0.6875,0.03125,0,0,0,0,0,0,0.375,0,0,0,0,0.25,0,0,0.125,0.21875,0.03125,0,0,0,0,0,0,0,0.0625,0,0.5,0.4375,0,0,0,0,0,0,0,0,0,0,0.25,0,0.03125,0,0,0,0,0,0.03125,0,0.09375,0.21875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28125,0,0.28125,0.21875,0.125,0.09375,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.125,0.375,0,0,0.25,0,0,0,0,0,0,0
MC2,0.41667,0,0,0,0.44444,0.13889,0,0,0,0,0,0.70588,0.29412,0,0,0.97222,0.02778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0.59375,0.09375,0,0.15625,0,0,0,0,0.47222,0,0,0,0,0,0,0.02778,0,0.02778,0.47222,0,0,0,0,0,0,0,0.11111,0,0.27778,0.61111,0,0,0,0,0,0,0,0,0,0,0.02778,0,0,0.33333,0.02778,0,0,0.11111,0,0,0,0,0,0,0,0,0,0,0.02778,0,0,0,0,0,0,0,0.30556,0.02778,0,0,0,0,0,0,0,0,0.13889,0,0,0,0,0,0,0,0,0.02941,0.11765,0.20588,0.32353,0.32353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66667,0,0,0.02778,0.02778,0.11111,0,0,0.16667,0,0,0,0,0,0,0,0
MC3,0.5,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OFR,0.16667,0,0.09091,0,0.68182,0.06061,0,0,0,0,0,0.95455,0.04545,0,0,0.98485,0.01515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30303,0,0,0,0.22727,0.0303,0.34848,0,0.09091,0,0,0,0,0,0,0,0,0.10938,0,0,0.01563,0,0.21875,0.40625,0.25,0,0,0,0,0,0,0.06061,0,0.07576,0.74242,0.12121,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.0625,0,0,0,0,0,0.03125,0,0,0,0,0,0,0,0,0.15625,0,0,0.25,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0.25,0,0.15625,0,0,0.12121,0,0,0,0.12121,0.01515,0.30303,0,0.40909,0,0.0303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSF,0.81429,0,0.18571,0,0,0,0,0,0,0,0,0.47059,0.52941,0,0,0.34286,0.65714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97143,0,0.02857,0,0,0,0,0,0.97143,0,0,0,0,0,0,0.02857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.19118,0.02941,0.27941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74286,0,0,0,0,0,0.25714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59259,0,0,0,0,0.22222,0,0,0,0,0,0,0.18519,0,0,0,0,0,0,0,0,0,0,0,0
PER,0.77174,0,0.03261,0,0.06522,0.06522,0.06522,0,0,0,0,0.4,0.6,0,0,0.9375,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0.13333,0.43333,0,0.36667,0,0,0,0,0.16667,0,0,0,0,0,0,0,0.66667,0.1,0.06667,0,0,0,0,0,0,0,0.13043,0,0.41304,0.06522,0.3913,0,0,0,0,0,0,0,0,0,0,0,0.13333,0.06667,0,0,0,0.66667,0,0,0,0,0,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36667,0,0.06667,0.13333,0.33333,0.06667,0.03333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06667,0,0.66667,0.06667,0,0.13333,0.06667,0,0,0,0,0,0,0,0,0
RCA,0.47917,0,0.25,0.04167,0.04167,0.1875,0,0,0,0,0,0.8913,0.1087,0,0,0.28261,0.71739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.25,0.325,0.125,0.025,0.25,0,0,0,0,0.39583,0,0,0.04167,0,0.0625,0,0.375,0,0.04167,0.02083,0.0625,0,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.08333,0.0625,0.25,0,0,0.02083,0.10417,0,0,0,0,0,0,0,0,0.02083,0,0,0,0,0,0.04167,0,0.14583,0.02083,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.22917,0,0,0,0.02083,0.04167,0.10417,0,0.10417,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10526,0.15789,0.05263,0,0.31579,0.18421,0.15789,0,0,0,0.02632,0,0,0,0,0
RL,0.5,0,0.35714,0.07143,0,0.07143,0,0,0,0,0,0.875,0.125,0,0,0.85185,0.14815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.12,0.16,0.14,0.3,0.22,0,0.04,0,0,0.11111,0,0,0.01852,0,0.14815,0,0.05556,0.12963,0.25926,0.22222,0.05556,0,0,0,0,0,0,0.18519,0,0.27778,0.2963,0.24074,0,0,0,0,0,0,0,0,0,0.11111,0.01852,0.01852,0.01852,0,0,0,0,0,0,0.01852,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11111,0,0.31481,0.33333,0.05556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.5625,0.0625,0,0,0.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18182,0,0,0.72727,0,0.04545,0,0,0,0,0.04545,0
ROC,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
SCI,0.5,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
SEL,0.5,0,0,0,0.4,0.1,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.4,0,0.1,0,0,0,0,0,0,0,0,0,0
SFP,0.2,0,0.16,0,0,0.64,0,0,0,0,0,0.92,0.08,0,0,0.62,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.68,0.04,0,0,0,0,0,0,0,0,0.08,0,0,0.42,0,0,0.42,0.08,0,0,0,0,0,0,0,0,0,0,0.42,0.52,0.06,0,0,0,0,0,0,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0.28,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94118,0,0.05882,0,0,0,0,0,0,0,0,0,0,0,0,0
SHO,0.28261,0,0.28261,0.04348,0.06522,0.28261,0.04348,0,0,0,0,0.97059,0.02941,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14706,0.26471,0.29412,0.17647,0.11765,0,0,0,0,0.64583,0,0,0,0,0.02083,0,0.125,0,0.20833,0,0,0,0,0,0,0,0,0,0,0.41667,0.05556,0.5,0.02778,0,0,0,0,0,0,0,0,0.11905,0,0.02381,0,0,0,0.09524,0.02381,0.04762,0.09524,0.14286,0,0,0,0,0,0,0,0.02381,0,0,0,0,0,0.02381,0,0.14286,0,0.2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16667,0.0625,0.375,0.02083,0.08333,0.1875,0.0625,0,0.04167,0,0,0,0,0.03333,0.06667,0,0,0,0,0,0,0.06667,0.16667,0,0.5,0,0.06667,0,0,0,0,0,0.03333,0.06667,0,0,0
TYG,0.5,0,0,0,0,0.5,0,0,0,0,0,0.61458,0.38542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88542,0.11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.38542,0,0.61458,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.38542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11458,0,0.5,0,0,0.38542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11458,0,0,0.38542,0,0,0.5,0,0,0,0,0,0,0,0,0
CFP,0,0,0.5,0.5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
LOC,0.97368,0,0.02632,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01316,0.98684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03947,0.46053,0.5,0,0,0,0,0,0,0,0.89474,0,0.07895,0.02632,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51429,0,0.48571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAN,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POC,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14583,0,0,0.32292,0.33333,0.05208,0,0.14583,0,0,0,0,0.36458,0,0,0,0,0,0,0.13542,0.13542,0.32292,0,0.04167,0,0,0,0,0,0,0,0,0.20833,0.46875,0.32292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01563,0.51563,0,0,0.46875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PWP,0.4375,0,0.48958,0.02083,0,0.03125,0.02083,0,0,0,0,0.47917,0.52083,0,0.01163,0.63953,0.26744,0,0,0,0,0,0,0,0,0,0.01163,0,0,0,0,0,0.06977,0,0,0,0,0,0,0,0.39362,0.14894,0.06383,0.01064,0.38298,0,0,0,0,0.58511,0,0,0,0,0,0,0.17021,0,0.15957,0.02128,0.06383,0,0,0,0,0,0.02174,0,0,0.11957,0.36957,0.47826,0.01087,0,0,0,0,0,0,0,0,0,0,0.04545,0.27273,0.06061,0.07576,0.28788,0,0,0.0303,0.04545,0,0,0,0,0,0,0,0.01515,0,0,0,0,0,0.01515,0,0.04545,0.09091,0,0,0.01515,0,0,0,0,0,0,0,0,0,0,0.02857,0,0,0,0.01429,0.05714,0.22857,0.41429,0.11429,0.14286,0,0,0,0,0,0,0,0,0,0.02941,0,0,0,0,0,0.08824,0.14706,0,0.02941,0.17647,0.16176,0.23529,0,0.01471,0.10294,0,0.01471,0,0,0,0
SU1,0.62121,0,0,0.01515,0,0.36364,0,0,0,0,0,0.59091,0.40909,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01515,0.86364,0.04545,0.01515,0.06061,0,0,0,0,0.01515,0,0,0,0,0.0303,0,0.07576,0.07576,0.04545,0.37879,0.36364,0.01515,0,0,0,0,0,0,0,0.40909,0.13636,0.45455,0,0,0,0,0,0,0,0,0,0,0,0.15152,0.34848,0,0.06061,0,0,0,0,0,0,0,0.37879,0,0,0,0,0,0,0,0,0,0,0.04545,0,0.01515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45455,0.07576,0.42424,0.01515,0.0303,0,0,0,0,0,0,0.0303,0,0.39394,0,0,0,0,0,0.39394,0,0.10606,0.0303,0,0.01515,0,0,0.0303,0,0,0,0,0,0,0
SUS,0.63333,0,0.23333,0.05,0,0.08333,0,0,0,0,0,0.35,0.65,0,0,0.86667,0.13333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28333,0.28333,0.28333,0,0.15,0,0,0,0,0.06667,0,0,0,0,0,0,0.5,0.01667,0.21667,0.15,0.05,0,0,0,0,0,0,0,0,0.57407,0.01852,0.40741,0,0,0,0,0,0,0,0,0,0,0,0.41667,0.01667,0,0.13333,0,0,0,0.01667,0.18333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23333,0,0,0,0,0,0,0,0.23333,0.46667,0.2,0.06667,0,0.03333,0,0,0,0,0,0,0.125,0,0.375,0,0,0,0,0,0.1875,0.25,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
CON,0.5,0,0.05,0,0.45,0,0,0,0,0,0,0.95,0.05,0,0,0.45,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0.45,0.05,0.45,0,0,0,0,0,0,0,0,0.45,0,0.05,0.05,0,0,0.45,0,0,0,0,0,0,0,0.5,0,0.05,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.05,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.45,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
WEN,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
LCN,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97368,0.02632,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.01042,0,0,0,0,0.45833,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0